store,state,empft,emppt,nmgrs,hoursopen,time
139,1,.,.,2,13,0
143,1,0,30,3,12,0
144,1,10,30,3,13,0
145,1,5,17,3,16,0
147,1,9,7,3,14,0
148,1,5,30,4,17,0
151,1,1,12,3,15,0
152,1,35,15,4,15,0
157,1,10,5,3,12,0
161,1,8,25,4,17,0
163,1,12,18,3,17,0
164,1,4,30,4,19,0
165,1,20,10,3,13,0
169,1,12,33,4,16,0
170,1,10,20,3,16,0
187,1,4,20,3,15,0
190,1,5,42,4,16,0
196,1,8,19,4,12,0
197,1,23,10,4,17,0
234,1,0,10,3,16,0
240,1,15,35,3,17,0
241,1,15,25,4,16,0
242,1,25,10,3,17,0
245,1,15,8,3,14,0
259,1,13,12,4,15,0
268,1,10,18,4,15,0
271,1,0,13,2,11,0
272,1,4,11,3,11,0
274,1,0,15,2,10,0
276,1,5,10,3,11,0
296,1,5,16,4,16,0
299,1,3,8,2,12,0
301,1,8,12,5,11,0
320,1,5,9,2,12,0
321,1,3,14,3,13,0
324,1,20,46,5,24,0
326,1,18,45,5,24,0
330,1,4,16,3,16,0
334,1,10,10,3,13,0
349,1,3,27,5,16,0
354,1,14,7,3,11,0
356,1,12,10,4,12,0
357,1,5,20,3,12,0
371,1,12,23,4,16,0
373,1,14,12,4,16,0
375,1,25,10,4,15,0
378,1,10,8,4,19,0
381,1,10,20,4,17,0
403,1,13,31,.,18,0
406,1,12,35,4,12,0
407,1,5,10,2,11,0
409,1,3,60,2,15,0
1,1,16,30,4,16,0
2,1,10,6,3,14,0
3,1,6,13,3,10,0
4,1,10,12,3,13,0
5,1,5,30,4,17,0
8,1,.,25,4,12,0
9,1,12,40,4,16,0
10,1,15,20,4,16,0
11,1,10,30,4,16,0
12,1,7,24,3,16,0
13,1,0,25,3,10,0
15,1,3,25,4,17,0
16,1,6,22,4,17,0
17,1,0,20,4,17,0
18,1,15,25,3,17,0
19,1,4,31,4,16,0
21,1,5,12,3,11,0
22,1,3,15,4,16,0
23,1,0,25,3,16,0
24,1,15,15,4,16,0
28,1,0,14,1,10,0
29,1,0,7,2,11,0
32,1,10,21,3,12,0
34,1,5,15,3,12,0
35,1,25,7,4,12,0
38,1,15,20,5,17,0
63,1,26,6,.,18,0
64,1,20,15,3,16,0
65,1,0,20,4,16,0
66,1,15,18,3,17,0
67,1,5,15,6,14,0
68,1,30,10,3,17,0
69,1,0,27,3,18,0
70,1,35,20,5,16,0
71,1,0,35,3,17,0
73,1,0,7,3,12,0
75,1,3,15,3,11,0
76,1,8,32,4,17,0
79,1,6,25,3,17,0
80,1,5,20,.,12,0
84,1,4,30,5,16,0
86,1,11,11,4,15,0
87,1,0,15,.,15,0
88,1,3,35,3,15,0
91,1,8,22,4,17,0
92,1,4,18,4,15,0
93,1,3,30,3,16,0
95,1,18,3,4,10,0
96,1,0,15,2,10,0
97,1,0,12,4,10,0
98,1,0,20,4,10,0
99,1,60,40,5,24,0
101,1,5,15,3,15,0
102,1,12,13,3,16,0
104,1,40,20,3,12,0
105,1,0,40,4,17,0
106,1,0,35,3,16,0
107,1,6,11,3,15,0
108,1,14,15,4,17,0
111,1,17,14,3,16,0
114,1,0,35,5,16,0
115,1,20,25,4,17,0
116,1,4,23,2,13,0
118,1,10,15,4,15,0
119,1,12,19,3,17,0
120,1,0,32,3,16,0
122,1,1,38,5,13,0
124,1,8,10,3,15,0
125,1,15,0,4,13,0
130,1,7,26,3,18,0
132,1,20,20,5,24,0
133,1,6,16,2,17,0
134,1,6,25,3,16,0
136,1,15,15,5,17,0
137,1,15,25,3,16,0
140,1,0,40,3,12,0
141,1,10,15,4,13,0
142,1,15,35,4,12,0
146,1,8,20,5,16,0
149,1,0,20,4,16,0
150,1,0,28,4,16,0
156,1,8,15,3,15,0
158,1,2,7,3,10,0
159,1,6,12,2,11,0
162,1,0,40,3,17,0
166,1,8,32,5,12,0
168,1,5,20,4,15,0
171,1,2,32,3,16,0
172,1,0,24,5,13,0
173,1,6,40,10,18,0
174,1,11,20,4,16,0
176,1,15,21,4,16,0
178,1,13,12,3,10,0
179,1,2,12,3,11,0
180,1,8,3,4,11,0
182,1,3,15,3,11,0
183,1,12,4,4,11,0
185,1,2,9,3,11,0
186,1,10,20,4,16,0
189,1,4,15,3,15,0
192,1,20,10,4,12,0
193,1,1,13,3,11,0
195,1,0,30,3,12,0
198,1,.,.,4,16,0
199,1,0,12,3,10,0
200,1,0,60,3,18,0
201,1,0,33,3,17,0
202,1,30,14,4,19,0
203,1,9,12,2,17,0
204,1,10,9,4,18,0
207,1,8,10,4,12,0
208,1,12,32,4,17,0
209,1,4,36,4,18,0
210,1,0,19,2,12,0
211,1,3,28,4,15,0
212,1,11,18,3,16,0
213,1,5,20,4,18,0
214,1,2,30,3,16,0
215,1,10,10,3,16,0
216,1,2,11,3,11,0
217,1,2,13,2,10,0
218,1,7,4,2,10,0
219,1,3,9,3,10,0
220,1,3,15,2,10,0
221,1,1,28,3,11,0
222,1,2,24,3,13,0
223,1,3,18,3,16,0
225,1,3,27,3,17,0
226,1,0,22,2,12,0
228,1,3,29,3,13,0
229,1,3,40,3,14,0
230,1,0,25,3,17,0
232,1,18,6,3,16,0
233,1,19,7,3,16,0
235,1,5,17,1,16,0
237,1,12,11,4,16,0
238,1,0,22,3,12,0
239,1,15,4,3,14,0
243,1,7,25,3,17,0
244,1,12,30,3,18,0
247,1,0,40,4,16,0
248,1,8,16,6,16,0
249,1,6,6,4,15,0
250,1,1,4,2,10,0
253,1,7,7,3,13,0
257,1,20,10,3,16,0
258,1,4,22,3,16,0
260,1,10,20,4,16,0
262,1,7,13,3,17,0
264,1,0,10,2,15,0
265,1,0,20,1,16,0
267,1,7,20,3,16,0
269,1,2,10,3,10,0
273,1,2,14,4,10,0
275,1,4,4,4,11,0
277,1,2,15,3,10,0
278,1,3,4,3,10,0
282,1,2,14,3,16,0
284,1,5,23,4,16,0
285,1,3,25,3,16,0
286,1,1,15,3,12,0
287,1,3,18,3,16,0
288,1,0,20,3,16,0
289,1,2,12,2,16,0
290,1,8,12,3,13,0
291,1,4,20,3,12,0
292,1,10,15,3,16,0
295,1,8,9,3,17,0
297,1,9,15,3,16,0
303,1,10,35,3,17,0
304,1,10,20,3,17,0
305,1,0,20,3,17,0
307,1,18,18,4,18,0
310,1,0,28,4,12,0
312,1,4,6,3,11,0
313,1,11,9,4,15,0
314,1,8,12,3,15,0
316,1,15,15,3,16,0
317,1,0,8,2,12,0
318,1,5,7,3,12,0
319,1,0,11,3,13,0
322,1,8,13,4,16,0
325,1,4,15,4,15,0
333,1,2,17,4,15,0
336,1,28,12,4,15,0
337,1,5,30,5,17,0
339,1,18,6,2,16,0
340,1,6,30,3,15,0
341,1,2,7,2,10,0
343,1,10,6,2,11,0
346,1,2,11,2,10,0
348,1,3,11,3,11,0
350,1,8,9,4,16,0
351,1,2,28,3,16,0
352,1,0,19,4,12,0
353,1,8,23,3,16,0
355,1,2,17,3,12,0
359,1,0,22,4,15,0
360,1,3,25,2,15,0
361,1,6,13,5,16,0
362,1,6,13,.,13,0
363,1,0,25,3,13,0
364,1,4,20,3,12,0
366,1,2,17,3,12,0
368,1,0,20,3,13,0
369,1,0,15,4,15,0
370,1,20,12,3,16,0
376,1,4,10,4,14,0
377,1,12,6,3,14,0
379,1,20,12,4,16,0
380,1,10,15,3,16,0
383,1,6,4,2,16,0
384,1,.,.,3,16,0
385,1,16,14,3,17,0
386,1,0,19,3,17,0
391,1,15,5,2,10,0
393,1,4,10,3,11,0
396,1,24,16,4,17,0
397,1,4,28,3,17,0
398,1,14,13,4,17,0
399,1,13,8,3,17,0
400,1,16,15,3,17,0
401,1,8,6,4,16,0
402,1,11,10,3,16,0
405,1,6,17,3,17,0
410,1,0,35,3,16,0
411,1,0,36,3,16,0
412,1,0,17,2,11,0
413,1,0,36,5,17,0
414,1,0,36,5,16,0
415,1,8,32,5,16,0
417,1,4,28,3,16,0
418,1,30,15,4,15,0
419,1,3,10,4,11,0
421,1,20,10,8,13,0
422,1,0,7,3,11,0
423,1,2,10,2,12,0
424,1,4,7,3,11,0
426,1,3,33,5,19,0
427,1,7,8,3,13,0
428,1,0,33,3,13,0
46,0,4,35,3,17,1
49,0,0,15,4,13,1
506,0,3,7,4,11,1
56,0,0,36,2,12,1
61,0,28,3,6,12,1
62,0,.,.,.,12,1
445,0,15,18,5,18,1
451,0,26,9,6,24,1
455,0,3,12,2,11,1
458,0,2,9,2,11,1
462,0,1,25,4,12,1
468,0,9,32,4,18,1
469,0,7,39,4,18,1
470,0,18,10,3,18,1
474,0,5,20,3,13,1
481,0,15,4,3,11,1
483,0,4,13,3,11,1
487,0,6,20,3,11,1
488,0,5,15,3,15,1
489,0,2,19,3,12,1
490,0,2,18,3,16,1
493,0,0,30,4,16,1
495,0,8,20,3,16,1
496,0,10,10,3,16,1
499,0,0,31,5,12,1
509,0,6,10,3,16,1
515,0,5,19,3,16,1
37,0,6,25,7,17,1
39,0,5,15,3,17,1
40,0,7,25,6,18,1
41,0,0,42,6,18,1
42,0,0,22,5,17,1
45,0,11,12,2,18,1
47,0,0,45,2,18,1
48,0,8,25,5,14,1
50,0,4,20,3,13,1
51,0,6,15,3,13,1
57,0,7,18,4,12,1
58,0,0,28,4,12,1
59,0,0,16,4,11,1
60,0,10,20,5,12,1
408,0,1,14,3,11,1
430,0,0,48,3,16,1
432,0,25,10,4,16,1
433,0,0,42,4,16,1
434,0,19,29,4,16,1
435,0,0,32,5,16,1
438,0,2,9,3,9,1
440,0,0,30,3,12,1
441,0,0,30,3,12,1
443,0,5,20,4,12,1
444,0,10,35,4,12,1
446,0,7,24,4,18,1
448,0,8,27,3,18,1
449,0,15,15,5,18,1
450,0,28,8,3,18,1
454,0,0,18,5,11,1
459,0,0,20,5,15,1
466,0,14,12,3,12,1
471,0,12,23,3,18,1
472,0,8,25,3,17,1
473,0,26,15,2,17,1
475,0,10,16,3,15,1
476,0,5,30,3,18,1
477,0,6,20,4,17,1
478,0,8,30,4,18,1
485,0,4,12,3,11,1
491,0,0,0,0,.,1
492,0,4,15,2,13,1
497,0,.,.,5,12,1
498,0,21,6,3,12,1
501,0,30,15,6,18,1
503,0,35,7,3,18,1
510,0,3,18,3,15,1
511,0,3,13,3,15,1
514,0,23,16,3,16,1
516,0,2,12,2,14,1
521,0,0,12,8,16,1
522,0,3,23,3,16,1
113,1,2,40,5,16,1
123,1,5,25,4,14,1
135,1,8,24,3,12,1
138,1,2,33,3,12,1
153,1,27,10,3,17,1
181,1,1,15,2,11,1
191,1,0,25,4,12,1
231,1,16,6,4,16,1
236,1,23,22,4,18,1
254,1,28,10,3,15,1
255,1,8,12,2,14,1
294,1,0,35,3,16,1
306,1,6,20,3,18,1
311,1,35,30,3,12,1
315,1,5,20,2,16,1
335,1,7,13,3,17,1
372,1,30,20,5,19,1
6,1,5,2,2,8,1
14,1,4,17,3,11,1
26,1,10,20,4,16,1
27,1,0,7,4,10,1
30,1,4,3,2,10,1
31,1,6,15,5,13,1
33,1,6,11,5,17,1
36,1,10,35,6,13,1
77,1,4,60,3,19,1
78,1,10,12,2,16,1
81,1,0,45,4,12,1
82,1,25,8,4,14,1
83,1,.,.,4,14,1
85,1,0,35,3,13,1
89,1,6,25,6,16,1
94,1,2,20,4,10,1
103,1,.,.,2,13,1
112,1,5,25,6,13,1
128,1,3,16,2,11,1
129,1,7,18,4,16,1
131,1,8,22,3,15,1
139,1,11,25,5,12,1
143,1,.,.,.,.,1
144,1,4,37,3,13,1
145,1,10,8,4,16,1
147,1,6,0,3,14,1
148,1,8,30,4,17,1
151,1,0,0,0,.,1
152,1,12,14,5,15,1
157,1,12,8,2,11,1
161,1,26,12,4,17,1
163,1,2,33,3,15,1
164,1,5,15,3,17,1
165,1,10,17,4,13,1
169,1,20,6,4,16,1
170,1,20,20,4,16,1
187,1,5,18,3,15,1
190,1,7,30,4,15,1
196,1,0,30,3,13,1
197,1,5,21,5,17,1
234,1,10,4,3,16,1
240,1,15,15,3,17,1
241,1,15,.,4,16,1
242,1,12,10,3,16,1
245,1,8,12,4,13,1
259,1,15,15,4,15,1
268,1,0,43,2,15,1
271,1,0,15,3,12,1
272,1,2,14,3,12,1
274,1,3,7,3,11,1
276,1,5,15,3,12,1
296,1,4,9,6,16,1
299,1,6,12,2,12,1
301,1,2,7,1,11,1
320,1,4,6,3,11,1
321,1,4,11,2,12,1
324,1,22,39,5,24,1
326,1,0,45,4,24,1
330,1,3,20,3,15,1
334,1,0,20,3,13,1
349,1,0,20,4,15,1
354,1,9,7,3,11,1
356,1,0,28,4,12,1
357,1,21,6,3,13,1
371,1,11,22,5,16,1
373,1,18,15,4,16,1
375,1,0,25,4,15,1
378,1,20,15,4,19,1
381,1,15,15,5,17,1
403,1,11,23,3,16,1
406,1,17,22,4,13,1
407,1,8,7,3,11,1
409,1,0,15,3,15,1
1,1,20,40,4,16,1
2,1,8,10,3,15,1
3,1,4,7,3,11,1
4,1,5,30,4,14,1
5,1,10,30,4,17,1
8,1,15,25,3,13,1
9,1,0,32,4,16,1
10,1,15,15,4,16,1
11,1,12,24,3,16,1
12,1,15,15,4,16,1
13,1,2,11,3,11,1
15,1,5,20,3,17,1
16,1,7,17,3,17,1
17,1,4,35,4,17,1
18,1,8,38,5,17,1
19,1,6,44,5,16,1
21,1,0,11,2,10,1
22,1,3,15,2,15,1
23,1,14,14,3,17,1
24,1,15,20,4,.,1
28,1,6,2,3,10,1
29,1,0,13,3,11,1
32,1,2,25,3,12,1
34,1,11,7,3,12,1
35,1,13,18,3,12,1
38,1,10,20,6,18,1
63,1,15,10,4,18,1
64,1,13,13,3,16,1
65,1,.,.,3,.,1
66,1,26,10,4,17,1
67,1,4,18,5,14,1
68,1,13,17,3,17,1
69,1,0,27,3,18,1
70,1,10,30,5,16,1
71,1,29,14,3,17,1
73,1,14,0,3,11,1
75,1,4,11,3,11,1
76,1,25,15,6,17,1
79,1,8,18,3,16,1
80,1,11,14,3,13,1
84,1,12,30,5,16,1
86,1,9,12,4,15,1
87,1,0,30,5,15,1
88,1,4,37,4,15,1
91,1,0,30,4,17,1
92,1,14,6,3,15,1
93,1,5,25,5,16,1
95,1,0,14,3,10,1
96,1,0,15,5,11,1
97,1,3,11,3,10,1
98,1,3,13,3,10,1
99,1,30,50,4,24,1
101,1,10,12,3,15,1
102,1,0,27,2,15,1
104,1,11,10,3,13,1
105,1,0,45,4,17,1
106,1,2,25,3,16,1
107,1,14,10,2,14,1
108,1,11,24,5,17,1
111,1,20,15,3,16,1
114,1,20,40,4,17,1
115,1,6,15,4,17,1
116,1,22,12,3,13,1
118,1,18,20,3,15,1
119,1,18,13,4,18,1
120,1,0,30,4,16,1
122,1,10,50,6,13,1
124,1,21,6,4,15,1
125,1,0,15,2,12,1
130,1,2,38,4,16,1
132,1,15,20,3,14,1
133,1,3,20,3,15,1
134,1,6,28,3,16,1
136,1,.,.,.,16,1
137,1,12,30,5,15,1
140,1,5,35,5,12,1
141,1,10,25,3,13,1
142,1,40,31,5,12,1
146,1,0,32,5,16,1
149,1,8,10,3,16,1
150,1,12,20,3,15,1
156,1,2,18,2,15,1
158,1,3,4,4,12,1
159,1,10,5,4,12,1
162,1,3,30,3,16,1
166,1,0,35,4,13,1
168,1,0,32,4,16,1
171,1,10,13,5,16,1
172,1,7,23,3,13,1
173,1,11,30,5,18,1
174,1,20,20,3,16,1
176,1,20,28,4,16,1
178,1,1,10,3,11,1
179,1,2,10,4,11,1
180,1,0,18,4,12,1
182,1,0,15,3,10,1
183,1,15,10,2,11,1
185,1,2,6,3,11,1
186,1,12,18,4,16,1
189,1,0,19,3,15,1
192,1,5,30,3,13,1
193,1,4,9,3,13,1
195,1,8,25,3,13,1
198,1,10,32,4,16,1
199,1,11,3,4,11,1
200,1,5,40,4,18,1
201,1,16,22,3,17,1
202,1,13,11,4,19,1
203,1,4,34,3,17,1
204,1,12,14,3,18,1
207,1,9,6,2,12,1
208,1,5,32,3,14,1
209,1,6,37,4,16,1
210,1,0,14,3,11,1
211,1,2,35,4,15,1
212,1,20,15,3,16,1
213,1,12,18,4,18,1
214,1,0,35,5,16,1
215,1,20,10,3,16,1
216,1,2,18,3,11,1
217,1,0,12,3,11,1
218,1,5,3,3,11,1
219,1,9,9,2,11,1
220,1,3,12,3,10,1
221,1,1,15,3,11,1
222,1,2,15,3,12,1
223,1,3,20,3,15,1
225,1,12,25,4,17,1
226,1,0,26,2,11,1
228,1,11,19,3,13,1
229,1,22,11,3,14,1
230,1,15,17,3,17,1
232,1,18,10,4,15,1
233,1,15,7,3,16,1
235,1,.,28,3,15,1
237,1,9,17,4,16,1
238,1,25,15,5,12,1
239,1,0,19,2,13,1
243,1,7,22,3,16,1
244,1,16,12,6,17,1
247,1,0,40,4,16,1
248,1,10,14,6,16,1
249,1,10,12,3,15,1
250,1,2,4,3,10,1
253,1,4,8,6,16,1
257,1,.,.,.,.,1
258,1,20,18,3,18,1
260,1,4,26,5,16,1
262,1,0,23,3,18,1
264,1,0,23,5,16,1
265,1,0,0,0,.,1
267,1,30,25,5,16,1
269,1,10,3,4,11,1
273,1,2,11,3,10,1
275,1,1,8,2,11,1
277,1,1,14,3,10,1
278,1,0,9,4,11,1
282,1,0,0,0,.,1
284,1,6,12,3,16,1
285,1,3,15,3,16,1
286,1,2,15,3,12,1
287,1,2,15,3,16,1
288,1,5,9,3,16,1
289,1,3,10,2,15,1
290,1,0,23,2,12,1
291,1,5,16,3,12,1
292,1,15,11,3,16,1
295,1,.,21,4,18,1
297,1,15,30,4,16,1
303,1,12,35,3,16,1
304,1,10,15,4,24,1
305,1,5,22,4,18,1
307,1,25,25,6,24,1
310,1,3,23,3,12,1
312,1,3,2,3,10,1
313,1,0,30,.,15,1
314,1,15,6,4,16,1
316,1,12,14,3,16,1
317,1,4,0,3,11,1
318,1,7,6,4,12,1
319,1,22,4,3,12,1
322,1,12,5,4,15,1
325,1,1,15,3,15,1
333,1,3,20,3,15,1
336,1,10,20,5,16,1
337,1,25,5,3,17,1
339,1,5,9,2,16,1
340,1,15,17,2,16,1
341,1,3,7,3,11,1
343,1,4,11,2,12,1
346,1,3,12,3,11,1
348,1,0,0,0,.,1
350,1,5,20,2,17,1
351,1,10,20,4,16,1
352,1,.,.,.,.,1
353,1,.,31,4,16,1
355,1,3,17,2,12,1
359,1,0,26,4,16,1
360,1,5,32,7,16,1
361,1,4,23,6,16,1
362,1,24,4,4,13,1
363,1,14,7,2,13,1
364,1,1,30,4,13,1
366,1,1,19,4,12,1
368,1,0,25,2,12,1
369,1,0,0,0,.,1
370,1,26,5,3,16,1
376,1,0,17,3,14,1
377,1,11,12,3,14,1
379,1,28,6,3,16,1
380,1,15,14,3,16,1
383,1,7,2,2,16,1
384,1,0,30,3,16,1
385,1,15,14,3,17,1
386,1,14,10,4,17,1
391,1,12,7,2,10,1
393,1,18,4,3,11,1
396,1,8,30,3,16,1
397,1,6,15,3,17,1
398,1,25,15,3,17,1
399,1,18,18,4,16,1
400,1,8,24,3,16,1
401,1,5,27,4,16,1
402,1,17,5,2,15,1
405,1,2,15,3,16,1
410,1,0,35,3,16,1
411,1,4,36,3,16,1
412,1,0,13,2,11,1
413,1,0,20,3,17,1
414,1,13,9,4,16,1
415,1,0,38,4,16,1
417,1,13,17,4,16,1
418,1,0,35,4,16,1
419,1,5,5,2,11,1
421,1,25,7,8,13,1
422,1,5,10,6,11,1
423,1,19,4,3,11,1
424,1,12,3,4,14,1
426,1,5,25,3,18,1
427,1,0,35,3,13,1
428,1,10,24,3,13,1
